,jd,RA,Decl,magsky
382,2455865.51,280.798875,0.50141667,20.9272411157
383,2455865.51,280.79879167,0.49538889,20.9184162452
384,2455865.51,280.82891667,0.50766667,20.9190023511
385,2455865.51,280.82975,0.49072222,20.9349476618
386,2455999.86,280.747125,0.51927778,19.7837193637
387,2455999.86,280.7605,0.51586111,19.7812278294
388,2455999.86,280.78195833,0.46716667,19.787353627
389,2455999.86,280.79216667,0.46186111,19.7875812217
390,2455999.86,280.798875,0.50141667,19.7839461977
391,2455999.86,280.79879167,0.49538889,19.7785163362
392,2455999.86,280.82891667,0.50766667,19.7787420857
393,2455999.86,280.82975,0.49072222,19.7923707182
394,2456008.88,280.747125,0.51927778,22.3526926816
395,2456008.88,280.7605,0.51586111,22.3503142337
396,2456008.88,280.78195833,0.46716667,22.3314723702
397,2456008.88,280.79216667,0.46186111,22.4088850529
398,2456008.88,280.798875,0.50141667,22.2947420966
399,2456008.88,280.79879167,0.49538889,22.2548534604
400,2456008.88,280.82891667,0.50766667,22.2205866819
401,2456008.88,280.82975,0.49072222,22.3890083385
402,2456010.83,280.747125,0.51927778,22.4324952169
403,2456010.83,280.7605,0.51586111,22.4324952169
404,2456010.83,280.78195833,0.46716667,22.3926472534
405,2456010.83,280.79216667,0.46186111,22.4503994432
406,2456010.83,280.798875,0.50141667,22.3877675366
407,2456010.83,280.79879167,0.49538889,22.3732586102
408,2456010.83,280.82891667,0.50766667,22.4299614718
409,2456010.83,280.82975,0.49072222,22.5005395651
410,2456016.82,280.747125,0.51927778,22.1037639334
411,2456016.82,280.7605,0.51586111,22.1291738844
412,2456016.82,280.78195833,0.46716667,22.1193302959
413,2456016.82,280.79216667,0.46186111,22.1777064417
414,2456016.82,280.798875,0.50141667,22.0922338938
415,2456016.82,280.79879167,0.49538889,22.0903240234
416,2456016.82,280.82891667,0.50766667,22.06766438
417,2456016.82,280.82975,0.49072222,22.1411051606
418,2456017.85,280.747125,0.51927778,22.295859328
419,2456017.85,280.7605,0.51586111,22.3549616626
420,2456017.85,280.78195833,0.46716667,22.295859328
421,2456017.85,280.79216667,0.46186111,22.3779817067
422,2456017.85,280.798875,0.50141667,22.295859328
423,2456017.85,280.79879167,0.49538889,22.272152379
424,2456017.85,280.82891667,0.50766667,22.2910763462
425,2456017.85,280.82975,0.49072222,22.3651325582
426,2456018.91,280.747125,0.51927778,21.9941431214
427,2456018.91,280.7605,0.51586111,21.9998425317
428,2456018.91,280.78195833,0.46716667,21.9605609393
429,2456018.91,280.79216667,0.46186111,21.9969890868
430,2456018.91,280.798875,0.50141667,21.9941431214
431,2456018.91,280.79879167,0.49538889,21.9605609393
432,2456018.91,280.82891667,0.50766667,21.9523252349
433,2456018.91,280.82975,0.49072222,22.0645939662
434,2456019.9,280.747125,0.51927778,22.206624573
435,2456019.9,280.7605,0.51586111,22.2360273231
436,2456019.9,280.78195833,0.46716667,22.1820407418
437,2456019.9,280.79216667,0.46186111,22.3063829538
438,2456019.9,280.798875,0.50141667,22.2531934543
439,2456019.9,280.79879167,0.49538889,22.2360273231
440,2456019.9,280.82891667,0.50766667,22.343347831
441,2456019.9,280.82975,0.49072222,22.3200977947
442,2456058.81,280.7605,0.51586111,20.2057374328
443,2456058.81,280.78195833,0.46716667,20.2003939085
444,2456058.81,280.79216667,0.46186111,20.2131280335
445,2456058.81,280.798875,0.50141667,20.1967354077
446,2456058.81,280.79879167,0.49538889,20.1977320394
447,2456058.81,280.82891667,0.50766667,20.1871489706
448,2456058.81,280.82975,0.49072222,20.2094264447
449,2456048.88,310.56079167,0.15002778,22.3021786033
450,2456048.88,310.61,0.12858333,22.5602272639
451,2456048.88,310.64766667,0.12238889,22.3303811031
452,2456058.79,310.69483333,0.26897222,19.6180770215
453,2456058.79,310.72875,0.25052778,19.6165193322
454,2455864.63,340.35891667,1.17002778,22.33272843
455,2455864.63,340.39620833,1.18633333,22.4174901169
456,2455865.53,340.35891667,1.17002778,21.9062577595
457,2455865.53,340.39620833,1.18633333,21.9477937491
458,2455865.53,340.436375,1.21027778,21.8803714563
459,2456058.86,340.35891667,1.17002778,19.9628599121
460,2456058.86,340.39620833,1.18633333,19.9658084794
461,2456058.86,340.436375,1.21027778,19.9593856267
462,2456223.55,340.35891667,1.17002778,20.2772535581
463,2456223.55,340.39620833,1.18633333,20.2772535581
464,2456223.55,340.436375,1.21027778,20.2776262805
465,2456231.58,340.35891667,1.17002778,19.5016234084
466,2456231.58,340.39620833,1.18633333,19.5072731017
467,2456231.58,340.436375,1.21027778,19.4987189153
468,2456235.52,340.35891667,1.17002778,22.655396315
469,2456235.52,340.39620833,1.18633333,22.7208011715
470,2456239.58,28.65720833,0.71680556,22.4408896108
471,2456239.59,44.3385,0.31080556,22.4001187306
472,2456239.59,44.44575,0.26741667,22.5273334074
473,2456239.62,58.93491667,0.11763889,22.3674064631
474,2456239.62,59.05558333,0.14638889,22.6391602558
475,2456239.62,72.92666667,-0.16927778,22.2891065919
476,2456244.83,103.078625,-0.39241667,22.7080447007
477,2456244.83,103.04141667,-0.39219444,22.6073082272
478,2456244.83,103.01404167,-0.45508333,22.1091009524
